Name,Website,Location,Description,Users,Approx_Start_Date,Approx_End_Date,Funding_Sources,Funders,Status,Reason Ended,Comment
Good Call NYC,https://goodcall.nyc/,US,"Good Call NYC provides support during an arrest process. Its 24/7 hotline puts people in touch with lawyers, free of charge. ",Arrested individuals,Oct 2016,,"Donations,Grant","the John A Reisenbach Foundation, Francis Lear Foundation, the New York Women's Foundation, Roddenberry Foundation, the Pinkerton Foundation, Google, Brooklyn Community Foundation",Active,,non-profit
Hate Crime Help,https://hatecrimehelp.com/,US,"Hate Crime Help helps victims of a hate crime by providing access to legal resources, information about local and
regional law enforcement and non-profit organisations.",,,,,,Unsure,,Unable to find information online
HeatSeek,https://heatseek.org/how-it-works-2,US,"HeatSeek helps tenants in New York resolve their home heating issues by providing objective, and reliable temperature data they need to expose the problem and hold their landlords accountable.",NY tenants,2014,,"Private,Grant,Donations","the Flatiron School, Robert D. Bielecki Foundation, Code for America, Microsoft, Google, Personal Democracy Media",Active,,
Helpself Legal,https://www.documate.org/,US,Helpself Legal is an online document automation system. Users can use the guided workflows to find legal assistance.,Individuals,Dec 2017,,Private,Early Stage VC,Active,,
Housing Court Answers,http://housingcourtanswers.org/,US,Housing Court Answers educates and empowers tenants and small homeowners through information tables and a hotline. ,"tenants, small homeowners",Dec 2017,,"Donations,Private",,Active,,
Illinois Legal Aid Online,https://www.illinoislegalaid.org/,US,Illinois Legal Aid Online presents legal resources and information about legal aid in a simple and accessible manner.,"lower-income people, legal aid lawyers, pro bono legal professionals",July 2001,,"Donations,Grant","Lawyers Trust Fund of Illinois, Illinois Equal Justice Foundation, The Chicago Bar Foundation, Illinois Bar Foundation, Polk Bros. Foundation, American College of Bankruptcy, American Bar Endowment
State Farm ",Active,,
LISA,http://robotlawyerlisa.com/,US&UK,"LISA, the world’s first impartial robot lawyer, uses artificial intelligence to create free, legally binding non-disclosure agreements in less than 15 minutes.",,,,Private,,Active,,
AdviceNow,https://www.advicenow.org.uk/pip-tool,UK,"Advice Now’s Mandatory Reconsideration Request Letter Tool aims to simplify the process of asking the Department
for Work and Pensions to reconsider their decision about a claim for Personal Independence Payment.",,Feb 2020,,"Government,Grant","Litigant in Person Support Strategy, Nuffield Foundation, Bar Standards Board, Family Justice Council, FLOWS at RCJ Advice, Access to Justice Foundation, Ministry of Justice, TDS Charitable Foundation, Tudor Trust, Awards for All from The National Lottery Community Fund, Allen and Overy",Active,,
Amicable,https://amicable.io/coparenting-app,UK,"Amicable is a divorce app which helps couples close an amicable agreement. The chatbot, Alex, provides instant and
real time support to users.",,2018,,,,Active,,Mobile app
Ask Izzy,https://askizzy.org.au/housing/Sydney-NSW/personalise,Australia,"Ask Izzy helps users to find free and anonymous services near their location, related to health care, counseling, and
legal advice",,2016,,"Government,Grant","Australian Government Department of Social Services, Credit Union Australia, Lord Mayor's Charitable Foundation, NAB Foundation, Telstra Foundation, Victorian State Government and Vodafone Foundation.",Active,,
Confident Commuter,http://www.confidentcommuter.org.au/,Australia,"Confident Commuter helps people deal with ticket inspectors and fines. The user follows a guided process of
questions and answers to find a solution for their case. ",,,,Grant,Victoria Law Foundation,Active,,
Robota,http://robotaprojects.com/bot/,Israel,Robota is a chatbot that guides workers to file a lawsuit against their current or former employers.,,,,NA,,Ended,,Unable to find info
Lexyom,https://lexyom.com/about-us/,Lebanon,Lexyom is an online legal services platform which connects users to lawyers based on the user’s needs. ,,02/02/2016,,,,Active,,For profit
Souktel,http://www.souktel.com/work/item-1538308404.html,Palestine,"Souktel is a communication platform that delivers information through SMS, mobile audio and mobile messenger,
which has been used to provide legal information to Syrian refugees by SMS. ",,2006,,,,Unsure,,"For profit, privately held, unable to open website.
Souktel’s investors include Sadara Ventures, and San Francisco-based 500 Startups--with $2.5M in equity funding raised to date. 

"
Hukoomi,http://portal.www.gov.qa/wps/portal/about-hukoomi,Qatar,"Hukoomi is an e-governance application which provides access to a broad range of information, including legal
information for business, and information about visa and immigration procesess",,2008,,Government,,Active,,
Virtual Lawyer,http://futrlaw.org/virtual-lawyer/,Bangladesh,"Virtual Lawyer is a web-based platform where individuals can find legal assistance from a pool of virtual lawyers, based on their requirements.",Individuals,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
